series_id,year,period,value
EEU00500006,1947,M13,1.13
EEU00500006,1948,M13,1.23
EEU00500006,1949,M13,1.28
EEU00500006,1950,M13,1.34
EEU00500006,1951,M13,1.45
EEU00500006,1952,M13,1.52
EEU00500006,1953,M13,1.61
EEU00500006,1954,M13,1.65
EEU00500006,1955,M13,1.71
EEU00500006,1956,M13,1.8
EEU00500006,1957,M13,1.89
EEU00500006,1958,M13,1.95
EEU00500006,1959,M13,2.02
EEU00500006,1960,M13,2.09
EEU00500006,1961,M13,2.14
EEU00500006,1962,M13,2.22
EEU00500006,1963,M13,2.28
EEU00500006,1964,M01,2.32
EEU00500006,1964,M02,2.32
EEU00500006,1964,M03,2.32
EEU00500006,1964,M04,2.34
EEU00500006,1964,M05,2.35
EEU00500006,1964,M06,2.36
EEU00500006,1964,M07,2.36
EEU00500006,1964,M08,2.37
EEU00500006,1964,M09,2.4
EEU00500006,1964,M10,2.39
EEU00500006,1964,M11,2.4
EEU00500006,1964,M12,2.4
EEU00500006,1964,M13,2.36
EEU00500006,1965,M01,2.4
EEU00500006,1965,M02,2.42
EEU00500006,1965,M03,2.42
EEU00500006,1965,M04,2.42
EEU00500006,1965,M05,2.45
EEU00500006,1965,M06,2.46
EEU00500006,1965,M07,2.46
EEU00500006,1965,M08,2.46
EEU00500006,1965,M09,2.49
EEU00500006,1965,M10,2.5
EEU00500006,1965,M11,2.5
EEU00500006,1965,M12,2.5
EEU00500006,1965,M13,2.46
EEU00500006,1966,M01,2.51
EEU00500006,1966,M02,2.52
EEU00500006,1966,M03,2.52
EEU00500006,1966,M04,2.54
EEU00500006,1966,M05,2.55
EEU00500006,1966,M06,2.56
EEU00500006,1966,M07,2.57
EEU00500006,1966,M08,2.57
EEU00500006,1966,M09,2.61
EEU00500006,1966,M10,2.61
EEU00500006,1966,M11,2.61
EEU00500006,1966,M12,2.6
EEU00500006,1966,M13,2.56
EEU00500006,1967,M01,2.62
EEU00500006,1967,M02,2.63
EEU00500006,1967,M03,2.63
EEU00500006,1967,M04,2.64
EEU00500006,1967,M05,2.66
EEU00500006,1967,M06,2.67
EEU00500006,1967,M07,2.69
EEU00500006,1967,M08,2.69
EEU00500006,1967,M09,2.72
EEU00500006,1967,M10,2.73
EEU00500006,1967,M11,2.74
EEU00500006,1967,M12,2.73
EEU00500006,1967,M13,2.68
EEU00500006,1968,M01,2.76
EEU00500006,1968,M02,2.78
EEU00500006,1968,M03,2.79
EEU00500006,1968,M04,2.8
EEU00500006,1968,M05,2.83
EEU00500006,1968,M06,2.84
EEU00500006,1968,M07,2.85
EEU00500006,1968,M08,2.86
EEU00500006,1968,M09,2.91
EEU00500006,1968,M10,2.92
EEU00500006,1968,M11,2.92
EEU00500006,1968,M12,2.93
EEU00500006,1968,M13,2.85
EEU00500006,1969,M01,2.94
EEU00500006,1969,M02,2.96
EEU00500006,1969,M03,2.97
EEU00500006,1969,M04,2.99
EEU00500006,1969,M05,3.02
EEU00500006,1969,M06,3.04
EEU00500006,1969,M07,3.05
EEU00500006,1969,M08,3.06
EEU00500006,1969,M09,3.11
EEU00500006,1969,M10,3.12
EEU00500006,1969,M11,3.13
EEU00500006,1969,M12,3.12
EEU00500006,1969,M13,3.04
EEU00500006,1970,M01,3.13
EEU00500006,1970,M02,3.15
EEU00500006,1970,M03,3.17
EEU00500006,1970,M04,3.18
EEU00500006,1970,M05,3.2
EEU00500006,1970,M06,3.22
EEU00500006,1970,M07,3.24
EEU00500006,1970,M08,3.25
EEU00500006,1970,M09,3.29
EEU00500006,1970,M10,3.29
EEU00500006,1970,M11,3.29
EEU00500006,1970,M12,3.31
EEU00500006,1970,M13,3.23
EEU00500006,1971,M01,3.34
EEU00500006,1971,M02,3.36
EEU00500006,1971,M03,3.38
EEU00500006,1971,M04,3.4
EEU00500006,1971,M05,3.43
EEU00500006,1971,M06,3.45
EEU00500006,1971,M07,3.46
EEU00500006,1971,M08,3.48
EEU00500006,1971,M09,3.52
EEU00500006,1971,M10,3.53
