name,year,quarter,frequency,value,source
nipa_ndp,1947,1,quarterly,215093,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1947,2,quarterly,217262,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1947,3,quarterly,220070,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1947,4,quarterly,229555,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1948,1,quarterly,235127,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1948,2,quarterly,241481,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1948,3,quarterly,247547,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1948,4,quarterly,248407,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1949,1,quarterly,242785,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1949,2,quarterly,239095,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1949,3,quarterly,240635,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1949,4,quarterly,238244,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1950,1,quarterly,248423,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1950,2,quarterly,257614,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1950,3,quarterly,274582,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1950,4,quarterly,285122,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1951,1,quarterly,299746,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1951,2,quarterly,306753,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1951,3,quarterly,313118,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1951,4,quarterly,317133,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1952,1,quarterly,320290,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1952,2,quarterly,320854,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1952,3,quarterly,326698,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1952,4,quarterly,339103,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1953,1,quarterly,345484,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1953,2,quarterly,348483,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1953,3,quarterly,347354,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1953,4,quarterly,341589,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1954,1,quarterly,340406,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1954,2,quarterly,340430,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1954,3,quarterly,344696,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1954,4,quarterly,352743,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1955,1,quarterly,365613,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1955,2,quarterly,373354,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1955,3,quarterly,380906,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1955,4,quarterly,386489,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1956,1,quarterly,387603,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1956,2,quarterly,392505,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1956,3,quarterly,396371,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1956,4,quarterly,404431,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1957,1,quarterly,412466,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1957,2,quarterly,413606,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1957,3,quarterly,420003,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1957,4,quarterly,414416,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1958,1,quarterly,406448,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1958,2,quarterly,409976,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1958,3,quarterly,422897,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1958,4,quarterly,435773,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1959,1,quarterly,445866,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1959,2,quarterly,457531,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1959,3,quarterly,459245,"NIPA, Table 1.7.5, Line 30, Net domestic product"
