name,year,period,periodName,value,seasonal
wage_private_prod,2025,M04,April,31.06,sa
wage_private_prod,2025,M03,March,30.96,sa
wage_private_prod,2025,M02,February,30.91,sa
wage_private_prod,2025,M01,January,30.8,sa
wage_private_prod,2024,M12,December,30.67,sa
wage_private_prod,2024,M11,November,30.58,sa
wage_private_prod,2024,M10,October,30.49,sa
wage_private_prod,2024,M09,September,30.38,sa
wage_private_prod,2024,M08,August,30.27,sa
wage_private_prod,2024,M07,July,30.17,sa
wage_private_prod,2024,M06,June,30.07,sa
wage_private_prod,2024,M05,May,29.97,sa
wage_private_prod,2024,M04,April,29.85,sa
wage_private_prod,2024,M03,March,29.8,sa
wage_private_prod,2024,M02,February,29.67,sa
wage_private_prod,2024,M01,January,29.61,sa
wage_private_prod,2023,M12,December,29.48,sa
wage_private_prod,2023,M11,November,29.38,sa
wage_private_prod,2023,M10,October,29.27,sa
wage_private_prod,2023,M09,September,29.16,sa
wage_private_prod,2023,M08,August,29.06,sa
wage_private_prod,2023,M07,July,29.02,sa
wage_private_prod,2023,M06,June,28.89,sa
wage_private_prod,2023,M05,May,28.78,sa
wage_private_prod,2023,M04,April,28.69,sa
wage_private_prod,2023,M03,March,28.59,sa
wage_private_prod,2023,M02,February,28.43,sa
wage_private_prod,2023,M01,January,28.31,sa
wage_private_prod,2022,M12,December,28.23,sa
wage_private_prod,2022,M11,November,28.12,sa
wage_private_prod,2022,M10,October,28,sa
wage_private_prod,2022,M09,September,27.85,sa
wage_private_prod,2022,M08,August,27.74,sa
wage_private_prod,2022,M07,July,27.66,sa
wage_private_prod,2022,M06,June,27.53,sa
wage_private_prod,2022,M05,May,27.4,sa
wage_private_prod,2022,M04,April,27.28,sa
wage_private_prod,2022,M03,March,27.12,sa
wage_private_prod,2022,M02,February,26.98,sa
wage_private_prod,2022,M01,January,26.91,sa
wage_private_prod,2021,M12,December,26.76,sa
wage_private_prod,2021,M11,November,26.56,sa
wage_private_prod,2021,M10,October,26.46,sa
wage_private_prod,2021,M09,September,26.3,sa
wage_private_prod,2021,M08,August,26.11,sa
wage_private_prod,2021,M07,July,25.96,sa
wage_private_prod,2021,M06,June,25.81,sa
wage_private_prod,2021,M05,May,25.68,sa
wage_private_prod,2021,M04,April,25.51,sa
wage_private_prod,2021,M03,March,25.35,sa
