year,hours_millions,frequency,quarter
1948,124940.25,annual,NA
1949,122097.25,annual,NA
1950,124309.75,annual,NA
1951,131482.5,annual,NA
1952,132844.25,annual,NA
1953,134325.75,annual,NA
1954,130377.25,annual,NA
1955,134664.75,annual,NA
1956,136901,annual,NA
1957,135668.5,annual,NA
1958,130926.5,annual,NA
1959,135702.5,annual,NA
1960,136702,annual,NA
1961,135769.75,annual,NA
1962,139193.5,annual,NA
1963,140319.25,annual,NA
1964,144219.25,annual,NA
1965,149168.25,annual,NA
1966,154405,annual,NA
1967,156138.5,annual,NA
1968,158963,annual,NA
1969,162852.75,annual,NA
1970,160049.5,annual,NA
1971,159350.5,annual,NA
1972,163644.75,annual,NA
1973,168871.75,annual,NA
1974,169527.5,annual,NA
1975,164711.25,annual,NA
1976,169557.25,annual,NA
1977,175494,annual,NA
1978,183556.5,annual,NA
1979,188910.25,annual,NA
1980,188256.25,annual,NA
1981,189204.25,annual,NA
1982,185852.25,annual,NA
1983,189254.75,annual,NA
1984,198685,annual,NA
1985,203304.5,annual,NA
1986,205663,annual,NA
1987,211778,annual,NA
1988,217605,annual,NA
1989,223481.75,annual,NA
1990,224158,annual,NA
1991,221282.5,annual,NA
1992,221172,annual,NA
1993,226303.75,annual,NA
1994,233820.5,annual,NA
1995,238620.5,annual,NA
1996,242810.5,annual,NA
1997,249213.5,annual,NA
1998,254418.25,annual,NA
1999,258904,annual,NA
2000,262641,annual,NA
2001,259675,annual,NA
2002,256132.5,annual,NA
2003,254928.75,annual,NA
2004,257821.25,annual,NA
2005,261622.25,annual,NA
2006,266790.5,annual,NA
2007,268810.25,annual,NA
2008,265578.75,annual,NA
2009,250115,annual,NA
2010,250362,annual,NA
2011,254120,annual,NA
2012,258825,annual,NA
2013,262320,annual,NA
2014,267439.75,annual,NA
2015,273138.75,annual,NA
2016,276452.25,annual,NA
2017,279679.75,annual,NA
2018,284928.5,annual,NA
2019,287922.25,annual,NA
2020,269161.5,annual,NA
2021,280871.75,annual,NA
2022,289716.25,annual,NA
2023,293554.25,annual,NA
2024,295514.75,annual,NA
1948,124156,quarterly,1
1948,124436,quarterly,2
1948,125816,quarterly,3
1948,125353,quarterly,4
1949,123908,quarterly,1
1949,123063,quarterly,2
1949,121305,quarterly,3
1949,120113,quarterly,4
1950,120487,quarterly,1
1950,122756,quarterly,2
1950,126157,quarterly,3
1950,127839,quarterly,4
1951,130564,quarterly,1
1951,132040,quarterly,2
1951,131502,quarterly,3
1951,131824,quarterly,4
1952,132339,quarterly,1
1952,131835,quarterly,2
1952,132386,quarterly,3
1952,134817,quarterly,4
1953,135297,quarterly,1
1953,135143,quarterly,2
1953,134251,quarterly,3
1953,132612,quarterly,4
1954,131479,quarterly,1
1954,129895.99999999999,quarterly,2
1954,129458,quarterly,3
1954,130675.99999999999,quarterly,4
