year,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
1947,1.1166666666666667,NA,1.117401557529889,132361,123097,1.0752577235838403,1.201494655078626,NA,220496,NA,14.319139218218215,NA,13.357793518227078,NA,0.4877917569311042,0.48687686322589435,NA,NA
1948,1.2408333333333332,NA,1.241649939673138,144313,135550,1.0646477314644043,1.3219197915459209,124935,243143,1.9461560011205827,14.629028629103011,21.537140179888617,13.627791305573401,20.063099138824917,0.4983483621771456,0.49671798523468536,0.4593001943416149,0.457797565852478
1949,1.2941666666666667,NA,1.2950183722715807,144334,134733,1.0712594538828646,1.3873006742479297,122092.75,240191,1.9672830696335368,15.505328182576985,21.987569233491246,14.477291085249867,20.529745407648132,0.5282001355465368,0.5276813166767828,0.4689060264125778,0.46844544854015335
1950,1.3566666666666667,NA,1.35755950422288,158269,147253,1.0748100208484717,1.4591185590368345,124304.75,266433,2.1433855102077755,16.147339127469206,23.719781027989,15.042185872252457,22.096356077960156,0.5500706992728488,0.548271109562351,0.5058471062035053,0.5041921966644
1951,1.4925,NA,1.4934822309970384,185705,171607,1.0821528259336741,1.6161760167551733,131477.75,309189,2.351645050208115,16.578718820276244,24.12315344882434,15.44446856460983,22.47274286743822,0.5647659581883445,0.5629338706776329,0.5144494103968319,0.5127805485859954
1952,1.5775000000000001,NA,1.5785381704508061,201088,185636,1.083238165011097,1.7099327911591053,132839.75,326735,2.4596176972630555,17.110752852289224,24.61261094388176,15.981294932756255,22.98796540134317,0.5828900794269006,0.5825006006067516,0.5248875614570064,0.524536839090367
1953,1.685,NA,1.6861089174070418,215245,198989,1.0816929579021957,1.823852142215292,134321.5,345730,2.5738991896308483,18.129574502153332,25.585241280998677,16.95285515796837,23.924603942962147,0.6175969703239709,0.6179129008673339,0.5456298373176385,0.5459089532124076
1954,1.73,NA,1.7311385324119775,214139,197263,1.0855507621804392,1.8792387532997492,130372.75,344569,2.6429526108791905,18.638895625995087,26.213655807241068,17.37274521392866,24.432947777747298,0.6349473600404701,0.6332174309955122,0.5590313804946545,0.5575082863249283
1955,1.8008333333333333,NA,1.802018481956784,230571,212151,1.0868249501534284,1.9584786468282385,134660,376586,2.7965691370859944,19.467797699555916,27.79863967461808,18.204219553305098,25.994339356192764,0.6631845042307887,0.6635237549895182,0.5928326833711792,0.5931359457911397
1956,1.9058333333333333,NA,1.9070875836349677,249275,229026,1.0884135425672194,2.0756999528900937,136896.75,395226,2.8870371283467287,20.318343983301073,28.260256683359152,18.982610859494887,26.402420189880566,0.6921589739790406,0.6918952608825283,0.6026771093281665,0.6024474888902717
1957,2.01,NA,2.0113228035538,262576,239951,1.0942900842255294,2.200970600105616,135664.5,415120,3.0599014480575244,20.818865065841123,28.94344674973149,19.499223910310693,27.10881439138463,0.7092095839711997,0.7107252376552299,0.6172467934940379,0.6185659132544851
1958,2.0733333333333333,NA,2.074697817264451,264670,241317,1.096773124147905,2.2754728067039713,130922.5,418775,3.198648055147129,20.993222424067643,29.510319736706467,19.54838002122957,27.479294655582148,0.7151491925473193,0.7125169237641601,0.6293359042538661,0.6270194907388228
1959,2.1666666666666665,NA,2.168092574311725,285829,259842,1.1000107757791273,2.3849251946296057,135698,456209,3.3619434332119855,21.77940833225776,30.701650092320023,20.3857173671606,28.73701396931451,0.7419311798990879,0.7430369478903381,0.6547421680051382,0.6557179902262777
1960,2.2466666666666666,NA,2.248145223209389,301283,272855,1.1041872056586832,2.482373191930492,136698.25,474481,3.471010053164543,22.306605502687404,31.190496337736587,20.800575366865843,29.084670445482203,0.7598905299755083,0.7581580651096637,0.6651672835797984,0.6636507770525378
1961,2.3091666666666666,NA,2.310686355160689,310422,280519,1.1065988400072722,2.55700284024145,135765.75,491605,3.6209795180301363,22.749730220207596,32.21596232576119,21.320891329660324,30.19257921651599,0.7749858915894078,0.7771230089460887,0.6870363304289354,0.6889309162302574
1962,2.3875,NA,2.3890712405396513,332202,299358,1.1097147896498507,2.651187689153967,139189.5,529822,3.806479655433779,23.310736374498582,33.468714465487224,21.785846663047817,31.279332820738446,0.7940969689719499,0.7940701188075306,0.7137524727037273,0.7137283391633719
1963,2.46,NA,2.4616189536031587,350408,314851,1.1129327840788181,2.7396164353747503,140315.75,559432,3.9869508590446903,23.808697570867995,34.64868512512145,22.190893126535475,32.29430195826199,0.8110603746040084,0.8088336163368582,0.7389164800306374,0.7368877921152094
1964,2.5325,2.5341666666666667,2.5341666666666667,375975,337788,1.1130501971650857,2.8206547079825213,144213.5,602070,4.17485186893044,24.185499242300512,35.79696459371082,22.631762539048438,33.49727843891829,0.8238963940407629,0.8249028209074828,0.76340464227857,0.764337175722975
1965,2.625,2.6283333333333334,2.6283333333333334,405415,363757,1.1145215074898902,2.929334028852595,149162.25,654281,4.386371216577921,24.73965750307276,37.04504863925677,23.068505477214185,34.542673330551125,0.8427741930146049,0.8408216200325065,0.7900212329626581,0.7881908801498253
1966,2.7391666666666667,2.734166666666667,2.734166666666667,449249,400321,1.1222219169116783,3.0683417578226804,154399,718103,4.650956288576999,25.157042915870996,38.13274927842419,23.51013211737108,35.636381292204845,0.856992726735349,0.8569184247168417,0.8132174935052535,0.8131469868377312
1967,2.8674999999999997,2.8541666666666665,2.8541666666666665,481790,429009,1.1230300529825714,3.205314942887756,156132.75,756402,4.844608193988769,25.57989349626055,38.662210684887285,23.913336481807335,36.14332692094253,0.8713974353134407,0.8716147797643907,0.8245087663879906,0.8247144158400911
1968,3.065,3.025,3.025,530751,471972,1.1245391675777376,3.401730981922656,158957,827294,5.20451442843033,26.171194009894684,40.04089610776964,24.518408475637447,37.51219933372877,0.8915405117948041,0.893668987592941,0.8539105568474838,0.8559491943855185
1969,3.2925,3.216666666666667,3.216666666666667,584458,518333,1.1275724293070284,3.6270246476042747,162847.25,892719,5.481940898602832,26.71511760932132,40.37764009413529,24.978011844432675,37.752151694426786,0.9100696596826213,0.9104210242389436,0.861091945698987,0.8614244006778271
1970,3.5166666666666666,3.4058333333333333,3.4058333333333333,623347,551560,1.13015265791573,3.8491115940846568,160044.25,936464,5.851281754889663,27.06425413493328,41.14211099330087,25.279300469258693,38.42868828211319,0.9219632460666687,0.9214026628142645,0.877395021670194,0.8768615373290454
1971,3.7825,3.6275,3.6275,664995,584549,1.1376206271843763,4.1267188251113245,159345.5,1015924,6.375605210062411,27.798122460607466,42.94691785428847,25.998328598201343,40.166312823393184,0.9469629974121441,0.9476104462713969,0.915884260959947,0.9165104609504285
1972,4.053333333333334,3.9033333333333333,3.9033333333333333,731333,638785,1.1448812980893415,4.468853333542063,163639.75,1118099,6.83268582358504,29.22643089898761,44.685964199952814,27.343595396960602,41.80718915797896,0.9956193497234994,0.9966439395865998,0.9529710941170518,0.9539517947463947
1973,4.335,4.140000000000001,4.140000000000001,812683,708762,1.1466232670487413,4.74702032558179,168866.75,1246690,7.3826848683947555,29.216934688820526,45.438908374928275,27.279329641265623,42.42549649033607,0.99529585450699265,0.9943015235653521,0.9690283516269207,0.9680602627225143
1974,4.689166666666667,4.4375,4.4375,887715,772282,1.1494700122494115,5.1007731793567634,169522.5,1338349,7.894816322317096,28.504693899067085,44.118668826082974,26.61477048492593,41.19350479834779,0.9710328606986917,0.9700790741746491,0.9408729755511139,0.9399488132480268
1975,5.1025,4.735,4.735,947230,814838,1.162476467715055,5.504326074630786,164706.75,1446394,8.781631596762125,28.42636442909899,45.351575591094516,26.59903026405388,42.436236778671514,0.9683645110728561,0.9695053604580679,0.9671658961545504,0.9683053334278175
