year,quarter,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
1947,1,1.06,NA,1.06,128989,118864,1.0851813837663211,1.1502922667923003,NA,215093,NA,14.095263149175834,NA,13.13186003901814,NA,0.4801652579224158,0.47864183672208893,NA,NA
1947,2,1.1,NA,1.1,130787,121260,1.078566716147122,1.1864233877618342,NA,217262,NA,14.329570648424516,NA,13.36494160650914,NA,0.4881471110896253,0.4871374031718131,NA,NA
1947,3,1.1366666666666665,NA,1.1366666666666665,132781,123988,1.070918153369681,1.217276967663537,NA,220070,NA,14.392698462400718,NA,13.44537741555634,NA,0.4902976053910909,0.4900691998301833,NA,NA
1947,4,1.17,NA,1.1745822454308095,136877,128267,1.0671256051829388,1.2534267894924878,NA,229555,NA,14.427787955225657,NA,13.494170689409628,NA,0.49149295415431277,0.49184766092765386,NA,NA
1948,1,1.1966666666666665,NA,1.1966666666666665,140405,131665,1.0663805870960392,1.2761021025582602,124151,235127,1.893879227714638,14.369741220035747,21.32631421083175,13.399072076861732,19.8857318910037,0.48951555044932077,0.48838142122936273,0.454804128115956,0.4537504197085716
1948,2,1.2166666666666666,NA,1.2166666666666666,142070,133378,1.0651681686634977,1.2959546052072555,124430,241481,1.9406975809692197,14.365273127951149,21.512058136417856,13.44157794791184,20.128820641638065,0.4893633416848928,0.48993071341877426,0.4587652956807721,0.4592971917977938
1948,3,1.2633333333333334,NA,1.2633333333333334,146847,138057,1.0636693539624937,1.3437689505059505,125811,247547,1.9676101453767953,14.642410415416093,21.440110872703173,13.687131645572585,20.041346450813947,0.49880422233445376,0.498880875278025,0.4572309511981486,0.45730121543556257
1948,4,1.2866666666666666,NA,1.2917058311575282,147929,139101,1.063464676745674,1.3736835241824428,125348,248407,1.9817388390720234,15.127353122920875,21.823413244976965,14.076118521893584,20.306854007599465,0.5153241437975904,0.5130590185410407,0.46540524233459907,0.4633595373513744
1949,1,1.3,NA,1.3,146267,136742,1.0696567258048002,1.3905537435462403,123903,242785,1.9594763645755147,15.451998276388933,21.773933980307802,14.422755596171676,20.323593269164334,0.5263834140076231,0.5256935581580837,0.46435004950543934,0.46374149196095593
1949,2,1.3,NA,1.3,144680,135005,1.0716640124439836,1.3931632161771788,123059,239095,1.9429298141541862,15.493768144267486,21.607880334145445,14.44982091900842,20.151973255343115,0.527806334542772,0.5266800593693032,0.46080879605598074,0.45982548556357516
1949,3,1.2933333333333334,NA,1.2933333333333334,143608,133983,1.0718374719180792,1.3862431303473826,121301,240635,1.9837841402791403,15.558010952499892,22.264301770876383,14.555552868647517,20.829733472930972,0.5299948119240104,0.5305338724944123,0.474807613491457,0.4752905428658609
1949,4,1.2866666666666666,NA,1.2917058311575282,142780,133202,1.0719058272398312,1.384587007497424,120108,238244,1.9835814433676358,15.57833745747728,22.317774854050388,14.538163578722953,20.827605155360175,0.5306872489081117,0.5299000520269342,0.4759479783351051,0.4752419791521231
1950,1,1.3033333333333335,NA,1.3033333333333332,147004,136870,1.0740410608606707,1.3998335159884074,120482,248423,2.061909662854202,15.776217359538249,23.237859820745648,14.69825191787828,21.650051459969124,0.5374281698263794,0.5357350956889457,0.49556967371732447,0.4940084675041511
1950,2,1.3366666666666667,NA,1.3366666666666667,153616,143042,1.073922344486235,1.4354762004632673,122751,257614,2.0986712939202126,16.07041836050198,23.49500861358019,14.980030779067592,21.900858104038534,0.5474503381260214,0.5460056248651914,0.5010536186393112,0.4997313456278212
1950,3,1.3633333333333335,NA,1.3633333333333335,162303,151025,1.0746763780830988,1.4651421287866249,126152,274582,2.1765964867778553,16.12134755421626,23.949668608390784,15.013293741361739,22.303557975958622,0.5491852776710862,0.5472180232093699,0.5107496795940922,0.5089201065395075
1950,4,1.4133333333333333,NA,1.4188685813751087,170150,158074,1.0763945999974696,1.5272624790982372,127834,285122,2.2304081856157203,16.455612274792276,24.031712177389522,15.372032407965099,22.4492563534458,0.5605722453403723,0.5602936525395698,0.512499337481391,0.5122446359205746
1951,1,1.45,NA,1.45,178566,165333,1.0800384678194916,1.566055778338263,130559,299746,2.2958662367205633,16.212646571598654,23.76803456586519,15.135573175871505,22.18902539012317,0.5522954442402036,0.5516749739347957,0.5068761592318595,0.506306714727831
1951,2,1.4833333333333334,NA,1.4833333333333334,184901,170993,1.0813366629043295,1.6039827166414222,132035,306753,2.3232703449842846,16.441127785254547,23.813962722466293,15.327947196668871,22.201589083248695,0.5600788208061049,0.5586867951374643,0.5078556212716867,0.506593391680937
1951,3,1.5066666666666666,NA,1.5066666666666666,187854,173494,1.0827694329486899,1.6313726123093593,131497,313118,2.3811797987786796,16.747350678840714,24.444723920592402,15.589689963697865,22.754982234396255,0.5705105235082392,0.5682270307466802,0.5213072094799022,0.5192206550863464
1951,4,1.53,NA,1.535992167101828,191495,176605,1.0843124486849183,1.6654954278710372,131820,317133,2.4058033682294035,16.828495406502032,24.308713343601298,15.738931793381303,22.734841829767863,0.5732747769084192,0.5736667310833575,0.5184066533279362,0.5187610935724266
1952,1,1.5466666666666666,NA,1.5466666666666666,196097,181006,1.0833729268643029,1.6756167935501218,132335,320290,2.4202969735897533,16.86754201662591,24.363840856621575,15.747094838832913,22.74544282915011,0.5746049277131755,0.5739642651003661,0.5195823004766429,0.5190029859978798
1952,2,1.56,NA,1.56,197426,182120,1.084043487810235,1.6911078409839666,131830,320854,2.4338466206478038,16.972779291603043,24.427266269331163,15.89267645035208,22.872779567524386,0.5781899110332919,0.5792705545158378,0.5209349083038842,0.5219085415388245
1952,3,1.5766666666666667,NA,1.5766666666666667,201503,185952,1.0836291085871623,1.7085218945390925,132382,326698,2.467843060234775,17.03340726071925,24.603592166349507,15.880851052519104,22.938803527100283,0.5802552463250065,0.5788395317877605,0.5246952273662828,0.5234150689089304
1952,4,1.6233333333333333,NA,1.6296910356832028,209326,193466,1.0819782287326971,1.7632902201700664,134812,339103,2.5153769694092514,17.566436716683167,25.05895504114361,16.389927128466027,23.380635109099106,0.5984132773950489,0.5973947941267223,0.5344062779116189,0.5334967328311502
1953,1,1.65,NA,1.65,213123,197069,1.0814638527622304,1.7844153570576802,135293,345484,2.5535984862483647,17.816395998355905,25.49626221936423,16.677420452500627,23.866324313782794,0.6069283197666777,0.6078736091805224,0.5437322733904092,0.5445791351123982
1953,2,1.6733333333333333,NA,1.6733333333333333,216209,200027,1.0808990786243857,1.8087044582314722,135139,348483,2.5787004491671537,18.0055593740783,25.670829656073906,16.812056193725322,23.969232043897968,0.6133723059577784,0.6127809336780995,0.5474550915982482,0.5469272722585166
1953,3,1.7,NA,1.7000000000000002,216523,200146,1.081825267554685,1.839102954842965,134247,347354,2.587424672432159,18.227403476712006,25.64404202920079,17.001707207542843,23.919616129386423,0.6209295845720417,0.6196935042751138,0.5468838197336456,0.5457951418367027
1953,4,1.71,NA,1.7166971279373369,215129,198715,1.082600709558916,1.8584975288027141,132607,341589,2.575949987557218,18.406089780111525,25.51155759168533,17.181001611377265,23.81353765671102,0.6270166617731545,0.6262285878436497,0.5440584618918041,0.543374655039318
1954,1,1.72,NA,1.72,213112,196401,1.085086124816065,1.866348134683632,131475,340406,2.5891310135006655,18.4161833875554,25.548240798664327,17.253577049439446,23.935390510677347,0.6273605077567563,0.6288738826359928,0.5448407665039205,0.5461550799154535
1954,2,1.7266666666666666,NA,1.7266666666666666,212684,195957,1.0853605637971595,1.8740559068230953,129890.99999999999,340430,2.6208898230054434,18.519354522044356,25.89954100021288,17.32483205166351,24.228986896370973,0.6308751065178966,0.6314710489961904,0.5523325806211064,0.5528543296068199
