Year,Pay,Productivity
1948q1,100,100
1948q2,100.8,101.2
1948q3,100.8,100.8
1948q4,103.1,102.7
1949q1,105.4,102.2
1949q2,106.6,101.3
1949q3,109,104.7
1949q4,110.3,104.7
1950q1,111.8,108.9
1950q2,112.4,110.1
1950q3,111.7,112.1
1950q4,112.1,112.9
1951q1,110.2,111.5
1951q2,111.2,111.6
1951q3,113.5,114.4
1951q4,113.7,114.3
1952q1,114.4,114.3
1952q2,115.8,114.9
1952q3,115.8,115.3
1952q4,117.3,117.5
1953q1,119.6,119.9
1953q2,120.6,120.4
1953q3,121.8,120.2
1953q4,122.6,119.7
1954q1,123.7,120.3
1954q2,124.5,121.8
1954q3,125.3,123.7
1954q4,127.8,126.8
1955q1,128.4,128.8
1955q2,130.2,131.2
1955q3,130.6,131.3
1955q4,132.3,131.8
1956q1,134.2,132.4
1956q2,134.5,132.3
1956q3,134.8,132.3
1956q4,135.8,134.3
1957q1,136.4,135.9
1957q2,137.5,136
1957q3,137.9,136.4
1957q4,138.5,136.5
1958q1,137.5,135
1958q2,138,136.3
1958q3,138.8,139.6
1958q4,140,141.9
1959q1,142,143.4
1959q2,143,144.2
1959q3,142.8,144.5
1959q4,143.3,144.5
1960q1,144.3,148
1960q2,145.6,145.9
1960q3,146.2,146.2
1960q4,146.5,144.9
1961q1,147.6,146.6
1961q2,148.4,151.1
1961q3,148.5,152.8
1961q4,149.1,153.8
1962q1,151,155.7
1962q2,151.6,155.6
1962q3,152.3,157.4
1962q4,153.3,158.9
1963q1,154.7,160.7
1963q2,155.8,161.8
1963q3,155.3,163.8
1963q4,157.2,165.4
1964q1,158,167.4
1964q2,158.6,167
1964q3,160.3,169.6
1964q4,160.4,168.7
1965q1,161.6,171.1
1965q2,162.4,171.4
1965q3,163.1,175
1965q4,164.8,178.5
1966q1,165.1,179.3
1966q2,165.4,178.2
1966q3,165.6,178.7
1966q4,165.7,179.4
1967q1,166.8,180.1
1967q2,168.5,181.7
1967q3,168.7,181.5
1967q4,169.2,182.3
1968q1,170.6,186.3
1968q2,171.1,187.6
1968q3,172.2,187.9
1968q4,172.9,188
1969q1,175.1,189.7
1969q2,175.1,188.8
1969q3,176.2,190.4
1969q4,177.2,189.6
1970q1,176.4,190.1
1970q2,176.8,191.9
1970q3,178.6,195.3
1970q4,178.9,193.9
1971q1,181.1,200
1971q2,182.1,200.8
1971q3,183.5,203.2
1971q4,184.9,202.6
1972q1,189.6,204.7
1972q2,191.6,209.2
1972q3,193.1,211
1972q4,193.9,213.7
1973q1,193.8,214.8
1973q2,192.1,213.8
1973q3,191.6,211.4
1973q4,189.9,211.8
1974q1,188.1,207.3
1974q2,187.6,207.8
1974q3,187.5,206
1974q4,186.6,207
1975q1,186.9,209.3
1975q2,187.5,212.2
1975q3,186.9,214.3
1975q4,186.6,214.7
1976q1,187.3,216.6
1976q2,188.7,218.1
1976q3,189.9,218.1
1976q4,190.7,218.6
1977q1,191.5,219.4
1977q2,191.8,218.6
1977q3,193.1,221.1
1977q4,193.5,220.3
1978q1,195,219.5
1978q2,195,222.7
1978q3,194.8,222.5
1978q4,195.4,224
1979q1,195.1,221.7
1979q2,193,220.7
1979q3,192.2,218.9
1979q4,190.7,216.8
1980q1,188.3,215.7
1980q2,188.2,212.9
